location_id,addressLine1,city,state,zipCode,formattedAddress,county,longitude,latitude,addressLine2
90,350 Bryant Rd,Spartanburg,SC,29303,"350 Bryant Rd, Apt A45, Spartanburg, SC 29303",Spartanburg,-81.923331,34.99874,Apt A45
91,12520 Eagles Claw Ln,Jacksonville,FL,32225,"12520 Eagles Claw Ln, Jacksonville, FL 32225",Duval,-81.483829,30.347007,unknown
92,2226 N Irish Rd,Davison,MI,48423,"2226 N Irish Rd, Davison, MI 48423",Genesee,-83.556225,43.040303,unknown
93,9185 Glenforest Dr,Naples,FL,34120,"9185 Glenforest Dr, Naples, FL 34120",Collier,-81.679721,26.269754,unknown
94,25928 E Calhoun Pl,Aurora,CO,80016,"25928 E Calhoun Pl, Aurora, CO 80016",Arapahoe,-104.686372,39.595126,unknown
95,1000 N Beaver St,Flagstaff,AZ,86001,"1000 N Beaver St, Apt 117, Flagstaff, AZ 86001",Coconino,-111.645907,35.207162,Apt 117
96,3317 W Stanton Ave,Apache Junction,AZ,85117,"3317 W Stanton Ave, Apache Junction, AZ 85117",Pinal,-111.580373,33.32602,unknown
97,1125 7th Ave,Platteville,WI,53818,"1125 7th Ave, Platteville, WI 53818",Grant,-90.481704,42.745012,unknown
98,668 Lake Summerset Rd,Lake Summerset,IL,61019,"668 Lake Summerset Rd, Lake Summerset, IL 61019",Stephenson County,-89.401535,42.446595,unknown
99,6969 W 90th Ave,Westminster,CO,80021,"6969 W 90th Ave, Apt 434, Westminster, CO 80021",Jefferson,-105.073318,39.859375,Apt 434
100,1430 Turkey Creek Ridge Rd,York,SC,29745,"1430 Turkey Creek Ridge Rd, York, SC 29745",York,-81.267685,34.922676,unknown
101,306 Lorene St,Wayland,MI,49348,"306 Lorene St, Wayland, MI 49348",Allegan,-85.638669,42.675797,unknown
102,218 6th Ave,San Francisco,CA,94118,"218 6th Ave, Apt 1, San Francisco, CA 94118",San Francisco,-122.464194,37.784399,Apt 1
103,9138 Glennon Ave,Las Vegas,NV,89148,"9138 Glennon Ave, Las Vegas, NV 89148",Clark,-115.291249,36.055191,unknown
104,9287 Eaton Creek Ct,Las Vegas,NV,89123,"9287 Eaton Creek Ct, Las Vegas, NV 89123",Clark,-115.148853,36.020863,unknown
105,2868 Concho Trl,Fort Worth,TX,76118,"2868 Concho Trl, Fort Worth, TX 76118",Tarrant,-97.18058,32.799796,unknown
106,201 W Blue Ridge St,Stuart,VA,24171,"201 W Blue Ridge St, Stuart, VA 24171",Patrick County,-80.273226,36.644175,unknown
107,16422 Burr Hill St,San Antonio,TX,78247,"16422 Burr Hill St, San Antonio, TX 78247",Bexar,-98.36008,29.591164,unknown
108,411 High Grove Blvd,Akron,OH,44312,"411 High Grove Blvd, Akron, OH 44312",Summit,-81.429991,41.046715,unknown
109,1392 White Oak Cir,Egg Harbor City,NJ,8215,"1392 White Oak Cir, Egg Harbor City, NJ 08215",Atlantic,-74.695408,39.587801999999996,unknown
110,5727 Spindle Palm Ct,Delray Beach,FL,33484,"5727 Spindle Palm Ct, Apt C, Delray Beach, FL 33484",Palm Beach,-80.134212,26.482734,Apt C
111,7844 Kentland Ave,West Hills,CA,91304,"7844 Kentland Ave, West Hills, CA 91304",Los Angeles,-118.617321,34.21328,unknown
112,110 Cedar Hills Cir,Chapel Hill,NC,27514,"110 Cedar Hills Cir, Chapel Hill, NC 27514",Orange,-79.041109,35.956371,unknown
113,4600 University Center Dr,Las Vegas,NV,89119,"4600 University Center Dr, Las Vegas, NV 89119",Clark,-115.149784,36.105701,unknown
114,6415 Melody Ln,Dallas,TX,75231,"6415 Melody Ln, Apt 337, Dallas, TX 75231",Dallas,-96.753108,32.865409,Apt 337
115,11401 Donnie Dr,Mabelvale,AR,72103,"11401 Donnie Dr, Mabelvale, AR 72103",Saline,-92.406148,34.625503,unknown
116,1919 Crystalwood Ln,Lodi,CA,95242,"1919 Crystalwood Ln, Lodi, CA 95242",San Joaquin,-121.296045,38.117801,unknown
117,8778 Fetterbush Ct,Brooksville,FL,34613,"8778 Fetterbush Ct, Brooksville, FL 34613",Hernando,-82.494248,28.557498,unknown
118,1645 Kenwood Ave,Alexandria,VA,22302,"1645 Kenwood Ave, Alexandria, VA 22302",Alexandria City,-77.084244,38.830631,unknown
119,1137 S Pennsylvania Ave,Winter Park,FL,32789,"1137 S Pennsylvania Ave, Winter Park, FL 32789",Orange,-81.357084,28.588702,unknown
120,2090 Tiburon Ln,Melbourne,FL,32940,"2090 Tiburon Ln, Melbourne, FL 32940",Brevard,-80.725161,28.2632,unknown
121,273 Seminole Blvd NW,Port Charlotte,FL,33952,"273 Seminole Blvd NW, Port Charlotte, FL 33952",Charlotte County,-82.10768,26.978458,unknown
122,17502 Monroe St,Omaha,NE,68135,"17502 Monroe St, Omaha, NE 68135",Douglas,-96.188125,41.192864,unknown
123,7400 Lakeview Dr,Bethesda,MD,20817,"7400 Lakeview Dr, Apt 209, Bethesda, MD 20817",Montgomery,-77.147982,39.026357,Apt 209
124,584 Chino Cir,Billings,MT,59105,"584 Chino Cir, Billings, MT 59105",Yellowstone,-108.501648,45.844009,unknown
