sales_id,lastSalePrice,lastSaleDate
213,30000.0,2004-10-27T00:00:00.000Z
214,520000.0,2021-02-10T00:00:00.000Z
215,45000.0,2024-06-21T00:00:00.000Z
216,,2022-08-10T00:00:00.000Z
217,98500.0,2003-02-26T00:00:00.000Z
218,,2020-10-02T00:00:00.000Z
219,31000.0,1981-11-06T00:00:00.000Z
220,741500.0,2006-03-03T00:00:00.000Z
221,638000.0,2021-01-12T00:00:00.000Z
222,405000.0,2018-11-07T00:00:00.000Z
223,1580000.0,2023-03-16T00:00:00.000Z
224,,2016-09-02T00:00:00.000Z
225,334900.0,2023-05-17T00:00:00.000Z
226,76000.0,1994-08-18T00:00:00.000Z
227,177000.0,1998-09-01T00:00:00.000Z
228,,2021-01-11T00:00:00.000Z
229,,2021-10-22T00:00:00.000Z
230,,2022-07-07T00:00:00.000Z
231,,2024-07-02T00:00:00.000Z
232,100000.0,2014-01-02T00:00:00.000Z
233,568.0,2008-04-15T00:00:00.000Z
234,,2015-05-11T00:00:00.000Z
235,324900.0,2023-08-31T00:00:00.000Z
236,11500.0,2003-09-15T00:00:00.000Z
237,142800.0,2018-09-27T00:00:00.000Z
238,350000.0,2023-06-22T00:00:00.000Z
239,108000.0,2014-10-22T00:00:00.000Z
240,178500.0,2021-04-06T00:00:00.000Z
241,165876.0,1996-12-27T00:00:00.000Z
242,362000.0,2010-04-27T00:00:00.000Z
243,121000.0,2016-10-05T00:00:00.000Z
244,274500.0,2021-06-08T00:00:00.000Z
245,311705.0,2008-02-07T00:00:00.000Z
246,,2023-11-27T00:00:00.000Z
247,365000.0,2021-02-24T00:00:00.000Z
248,520000.0,2022-04-20T00:00:00.000Z
249,450261.0,2021-03-04T00:00:00.000Z
250,37900.0,2003-11-12T00:00:00.000Z
251,,2008-06-19T00:00:00.000Z
252,155500.0,2003-06-10T00:00:00.000Z
253,598500.0,2005-06-03T00:00:00.000Z
254,121000.0,2000-06-23T00:00:00.000Z
255,100.0,1996-12-06T00:00:00.000Z
256,,2008-12-18T00:00:00.000Z
257,167400.0,2019-07-15T00:00:00.000Z
258,3000.0,1989-12-12T00:00:00.000Z
259,525000.0,2022-06-01T00:00:00.000Z
260,460000.0,2015-02-26T00:00:00.000Z
261,,2021-11-02T00:00:00.000Z
262,101031.0,2020-06-08T00:00:00.000Z
263,875000.0,2023-03-15T00:00:00.000Z
264,32000.0,1977-03-14T00:00:00.000Z
265,132000.0,2005-03-24T00:00:00.000Z
266,,2013-09-04T00:00:00.000Z
267,330000.0,2020-09-22T00:00:00.000Z
268,960000.0,2017-04-26T00:00:00.000Z
269,122000.0,2003-07-28T00:00:00.000Z
270,70000.0,2011-03-24T00:00:00.000Z
271,,2015-03-31T00:00:00.000Z
272,526000.0,2021-04-22T00:00:00.000Z
273,414990.0,2022-11-04T00:00:00.000Z
274,67000.0,2022-12-19T00:00:00.000Z
275,,2001-10-29T00:00:00.000Z
276,328000.0,2003-09-18T00:00:00.000Z
277,272000.0,2023-09-12T00:00:00.000Z
278,85000.0,2021-06-28T00:00:00.000Z
279,55000.0,2018-01-22T00:00:00.000Z
280,,2014-06-10T00:00:00.000Z
281,145000.0,2021-03-05T00:00:00.000Z
282,71000.0,2013-03-29T00:00:00.000Z
